Отметка времени,Когда вы в последний раз принимали душ на ЛШ?,В какое время дня это было?,Насколько тёплой или холодной была вода?,В каком душе это было?,Сколько людей стояло в очереди ПЕРЕД вами?,Сколько людей принимало душ ОДНОВРЕМЕННО с вами?
28.07.2018 23:47:42,сегодня,18:35:00,едва тёплая,вагончик,0,1
28.07.2018 23:51:52,сегодня,16:20:00,комфортно тёплая,вагончик,1,0
28.07.2018 23:51:53,давно,22:10:00,ледяная,домик,0,1
28.07.2018 23:52:04,сегодня,12:00:00,комфортно тёплая,домик,0,0
28.07.2018 23:52:09,сегодня,20:03:00,ледяная,домик,0,2
28.07.2018 23:52:26,давно,22:20:00,ледяная,домик,0,1
28.07.2018 23:53:04,вчера,12:00:00,комфортно тёплая,домик,0,4
28.07.2018 23:53:49,сегодня,8:50:00,едва тёплая,домик,0,1
28.07.2018 23:54:47,сегодня,14:30:00,прохладная,домик,0,1
28.07.2018 23:55:49,вчера,10:30:00,едва тёплая,домик,0,0
28.07.2018 23:55:50,вчера,10:30:00,едва тёплая,домик,0,0
28.07.2018 23:56:25,сегодня,7:40:00,горячая,домик,0,0
28.07.2018 23:59:23,вчера,8:30:00,прохладная,домик,0,4
29.07.2018 0:00:12,сегодня,22:36:00,едва тёплая,домик,0,1
29.07.2018 0:00:40,сегодня,22:36:00,едва тёплая,домик,0,1
29.07.2018 0:01:50,сегодня,20:00:00,горячая,домик,0,2
29.07.2018 0:02:43,сегодня,19:20:00,комфортно тёплая,домик,0,3
29.07.2018 0:05:29,вчера,19:45:00,прохладная,домик,0,1
29.07.2018 0:05:34,вчера,16:00:00,комфортно тёплая,вагончик,0,3
29.07.2018 0:05:42,сегодня,20:35:00,ледяная,домик,0,0
29.07.2018 0:06:04,сегодня,19:30:00,горячая,домик,0,2
29.07.2018 0:07:11,сегодня,16:30:00,комфортно тёплая,вагончик,0,0
29.07.2018 0:07:28,сегодня,7:30:00,горячая,домик,0,0
29.07.2018 0:07:55,давно,8:30:00,ледяная,домик,0,1
29.07.2018 0:09:23,сегодня,11:50:00,прохладная,вагончик,0,1
29.07.2018 0:49:33,вчера,18:50:00,прохладная,вагончик,1,1
29.07.2018 0:51:46,сегодня,8:00:00,ледяная,домик,1,4
29.07.2018 0:53:01,сегодня,14:40:00,прохладная,домик,0,1
29.07.2018 0:58:05,сегодня,9:50:00,горячая,вагончик,0,1
29.07.2018 1:00:07,сегодня,7:30:00,прохладная,домик,0,0
29.07.2018 1:09:57,сегодня,7:00:00,горячая,домик,0,0
29.07.2018 1:59:03,вчера,14:00:00,ледяная,домик,0,0
29.07.2018 2:12:25,вчера,1:30:00,горячая,вагончик,0,1
29.07.2018 2:17:46,вчера,7:50:00,ледяная,домик,0,2
29.07.2018 2:17:52,сегодня,10:10:00,комфортно тёплая,вагончик,0,1
29.07.2018 2:23:52,вчера,12:20:00,едва тёплая,домик,1,3
